energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,playlist_name,analysis_url,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.592,157.969,0.521,pop,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3,0.0304,100,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,Die With A Smile,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16,0.0,10FLjwfpbxLmW8c25Xyc2N,0,6,251668,0.308,2plbrEY59IikOBgBGLjaoe,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.507,104.978,0.747,pop,-10.171,0.117,0.438,Billie Eilish,4,0.0358,97,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,2024-05-17,0.0608,7aJuG4TFXa2hmE4z1yxc3n,1,2,210373,0.2,6dOtVTDdiauQNBQEDOtlAB,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,4,0.0368,93,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,The Secret of Us (Deluxe),Today's Top Hits,https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad,7ne4VBA60CxGM75vw0EYad,That’s So True,2024-10-18,0.0,0hBRqPYPXhr1RkTDG3n4Mk,1,1,166300,0.214,7ne4VBA60CxGM75vw0EYad,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.91,112.966,0.67,pop,-4.07,0.304,0.786,Sabrina Carpenter,4,0.0634,81,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,Short n' Sweet,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1d7Ptw3qYcfpdLNL5REhtJ,1d7Ptw3qYcfpdLNL5REhtJ,Taste,2024-08-23,0.0,4B4Elma4nNDUyl6D5PvQkj,0,0,157280,0.0939,1d7Ptw3qYcfpdLNL5REhtJ,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.783,149.027,0.777,pop,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4,0.26,98,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,APT.,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18,0.0,2IYQwwgxgOIn7t3iF6ufFD,0,0,169917,0.0283,5vNRhkKd0yEAg8suGBpjeY,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.825,94.931,0.56,pop,-3.862,0.161,0.268,Vanessa Carlton,4,0.0379,75,https://api.spotify.com/v1/tracks/4w1lzcaoZ1IC2K5TwjalRP,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,Be Not Nobody,Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/4w1lzcaoZ1IC2K5TwjalRP,4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,2002-04-30,0.0,5e7T2qUigzt0oIr50KsOld,1,11,237493,0.323,4w1lzcaoZ1IC2K5TwjalRP,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.618,126.031,0.853,electronic,-10.833,0.0972,0.32,"Lost Frequencies, Tom Odell",4,0.0923,83,https://api.spotify.com/v1/tracks/4MSj19TwYBLgDFj3ddEeco,spotify:track:4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),Techno Bunker,https://api.spotify.com/v1/audio-analysis/4MSj19TwYBLgDFj3ddEeco,4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),2024-07-19,0.89,4CAe3r1nsTTAjGcWqGZbAr,1,6,145599,0.633,4MSj19TwYBLgDFj3ddEeco,techno,audio_features,37i9dQZF1DX4uPi2roRUwU
0.51,119.994,0.829,electronic,-9.334,0.0829,0.45,"Mr. Probz, Robin Schulz",4,0.0369,75,https://api.spotify.com/v1/tracks/1HFfMOxCAT4GAwaPfCdmUs,spotify:track:1HFfMOxCAT4GAwaPfCdmUs,Waves (Robin Schulz Radio Edit),EDM Hits,https://api.spotify.com/v1/audio-analysis/1HFfMOxCAT4GAwaPfCdmUs,1HFfMOxCAT4GAwaPfCdmUs,Waves - Robin Schulz Radio Edit,2014-02-07,0.00143,29RpLEpfNr1mnrnmtbO620,0,5,208133,0.00821,1HFfMOxCAT4GAwaPfCdmUs,modern,audio_features,37i9dQZF1DX3Kdv0IChEm9
0.863,130.02,0.652,electronic,-4.853,0.6,0.805,"Gabry Ponte, Sean Paul, NATTI NATASHA",4,0.0523,69,https://api.spotify.com/v1/tracks/5Nwh8kghoqebxmco5ZWbDt,spotify:track:5Nwh8kghoqebxmco5ZWbDt,Born To Love Ya,Techno Bunker,https://api.spotify.com/v1/audio-analysis/5Nwh8kghoqebxmco5ZWbDt,5Nwh8kghoqebxmco5ZWbDt,Born To Love Ya,2024-10-04,0.0,4dx4jGH35HYUcRT6vNQjPo,0,7,155077,0.0921,5Nwh8kghoqebxmco5ZWbDt,techno,audio_features,37i9dQZF1DX4uPi2roRUwU
0.573,140.04,0.911,hip-hop,-7.43,0.403,0.972,Central Cee,4,0.288,77,https://api.spotify.com/v1/tracks/3LtpKP5abr2qqjunvjlX5i,spotify:track:3LtpKP5abr2qqjunvjlX5i,Doja,UK Drill,https://api.spotify.com/v1/audio-analysis/3LtpKP5abr2qqjunvjlX5i,3LtpKP5abr2qqjunvjlX5i,Doja,2022-07-21,0.0,6oECjagksATHu2UaclXrq1,1,6,97393,0.38,3LtpKP5abr2qqjunvjlX5i,drill,audio_features,652TD735fW0JesE9VgHhzS
0.88,180.011,0.72,latin,-2.834,0.153,0.463,"Peso Pluma, Anitta",4,0.101,75,https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f,spotify:track:05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/05WVKTdZhlIMX4qqMLuo0f,05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,2023-12-07,0.06,3VLY9g3CAG1Y5r2eGVEaZ0,1,9,197333,0.0562,05WVKTdZhlIMX4qqMLuo0f,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
0.965,128.04,0.561,gaming,-3.673,0.371,0.304,"David Guetta, Bebe Rexha",4,0.0343,85,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),Top Gaming Tracks,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),2022-08-26,7.07e-06,7M842DMhYVALrXsw3ty7B3,0,7,175238,0.00383,4uUG5RXrOk84mYEfFvj3cK,modern,audio_features,37i9dQZF1DWTyiBJ6yEqeu
0.356,169.653,0.529,latin,-6.612,0.136,0.659,Julión Álvarez y su Norteño Banda,3,0.0569,85,https://api.spotify.com/v1/tracks/0BiDnJFB3TlRB6aji7jUz3,spotify:track:0BiDnJFB3TlRB6aji7jUz3,Atento Aviso ... Rey Sin Reina,Viva Latino,https://api.spotify.com/v1/audio-analysis/0BiDnJFB3TlRB6aji7jUz3,0BiDnJFB3TlRB6aji7jUz3,Rey Sin Reina,2024-09-05,0.0,38uizvY4xqOiAq750FDmW2,1,3,150523,0.29,0BiDnJFB3TlRB6aji7jUz3,modern,audio_features,37i9dQZF1DX10zKzsJ2jva
0.251,139.999,0.746,hip-hop,-16.169,0.106,0.18,XXXTENTACION,4,0.259,84,https://api.spotify.com/v1/tracks/5TXDeTFVRVY7Cvt0Dw4vWW,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,17,Chill Hop,https://api.spotify.com/v1/audio-analysis/5TXDeTFVRVY7Cvt0Dw4vWW,5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,2017-08-25,0.00203,5VdyJkLe3yvOs0l4xXbWp0,0,11,120027,0.782,5TXDeTFVRVY7Cvt0Dw4vWW,chill,audio_features,37i9dQZF1EIf4OaZ1XTJYw
0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,4,0.0368,93,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,The Secret of Us (Deluxe),Global Top 50,https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad,7ne4VBA60CxGM75vw0EYad,That’s So True,2024-10-18,0.0,0hBRqPYPXhr1RkTDG3n4Mk,1,1,166300,0.214,7ne4VBA60CxGM75vw0EYad,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.422,124.357,0.573,latin,-7.621,0.102,0.693,Libianca,5,0.0678,76,https://api.spotify.com/v1/tracks/26b3oVLrRUaaybJulow9kz,spotify:track:26b3oVLrRUaaybJulow9kz,People,Afro-Latin Party,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,26b3oVLrRUaaybJulow9kz,People,2022-12-06,1.31e-05,5Hmh6N8oisrcuZKa8EY5dn,0,10,184791,0.551,26b3oVLrRUaaybJulow9kz,afro-latin,audio_features,0oU30cCr8klmMsuOKHDLkh
0.725,105.016,0.711,latin,-8.315,0.11,0.53,Omah Lay,4,0.0941,74,https://api.spotify.com/v1/tracks/1wADwLSkYhrSmy4vdy6BRn,spotify:track:1wADwLSkYhrSmy4vdy6BRn,Boy Alone,Afro-Latin Party,https://api.spotify.com/v1/audio-analysis/1wADwLSkYhrSmy4vdy6BRn,1wADwLSkYhrSmy4vdy6BRn,soso,2022-07-14,0.129,5NLjxx8nRy9ooUmgpOvfem,0,3,183057,0.424,1wADwLSkYhrSmy4vdy6BRn,afro-latin,audio_features,0oU30cCr8klmMsuOKHDLkh
0.809,99.005,0.724,latin,-5.022,0.0765,0.606,"Davido, FAVE",4,0.0929,69,https://api.spotify.com/v1/tracks/7vKXc90NT5WBm3UTT4iTVG,spotify:track:7vKXc90NT5WBm3UTT4iTVG,Timeless,Afro-Latin Party,https://api.spotify.com/v1/audio-analysis/7vKXc90NT5WBm3UTT4iTVG,7vKXc90NT5WBm3UTT4iTVG,KANTE (feat. Fave),2023-03-30,0.0,6lI21W76LD0S3vC55GrfSS,0,6,194040,0.182,7vKXc90NT5WBm3UTT4iTVG,afro-latin,audio_features,0oU30cCr8klmMsuOKHDLkh
0.642,83.389,0.463,latin,-4.474,0.0686,0.339,"Future, Drake, Tems",4,0.34,82,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,I NEVER LIKED YOU,Afro-Latin Party,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),2022-04-29,0.0,6tE9Dnp2zInFij4jKssysL,1,1,189893,0.314,59nOXPmaKlBfGMDeOVGrIK,afro-latin,audio_features,0oU30cCr8klmMsuOKHDLkh
0.89,126.881,0.645,pop,-4.985,0.376,0.421,"Alan Walker, Ina Wroldsen",4,0.128,69,https://api.spotify.com/v1/tracks/2GE3k8I0Sbh0puCjI15KGy,spotify:track:2GE3k8I0Sbh0puCjI15KGy,Barcelona,Scandi Pop,https://api.spotify.com/v1/audio-analysis/2GE3k8I0Sbh0puCjI15KGy,2GE3k8I0Sbh0puCjI15KGy,Barcelona,2024-06-13,9.38e-06,34yBJhr8zlBAHMEMSwrISN,1,6,205087,0.259,2GE3k8I0Sbh0puCjI15KGy,scandi,audio_features,59z06GgF6TTDbm5cr1RZUC
